bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
Bovada,0.0112,0.4878,Over,NBA,19.5,Points + Assists,2.05,Josh Hart,0.49327645367708434
DraftKings,0.0112,0.4878,Under,NBA,14.5,Rebounds + Assists,2.05,Trae Young,0.49327645367708434
Unibet,0.0112,0.4878,Under,NFL,11.5,Total Rushing Attempts,2.05,Najee Harris,0.49327645367708434
SugarHouse,0.0112,0.4878,Under,NFL,11.5,Total Rushing Attempts,2.05,Najee Harris,0.49327645367708434
Bovada,0.0112,0.4878,Over,NBA,20.5,Points + Rebounds,2.05,Dillon Brooks,0.49327645367708434
BetRivers,0.0112,0.4878,Under,NFL,11.5,Total Rushing Attempts,2.05,Najee Harris,0.49327645367708434
Bovada,0.0111,0.4762,Under,NBA,9.5,Rebounds + Assists,2.1,Jaren Jackson Jr.,0.4814570161366425
BetMGM,0.011,0.5348,Over,NFL,15.5,Longest Reception,1.87,Andrei Iosivas,0.5406403477055651
HardRock,0.011,0.5348,Over,NFL,15.5,Longest Reception,1.87,Andrei Iosivas,0.5406403477055651
ESPNBet,0.0109,0.4878,Over,NBA,12.5,Rebounds + Assists,2.05,Austin Reaves,0.4931292041578361
HardRock,0.0108,0.5236,Under,NBA,11.5,Rebounds + Assists,1.91,Fred VanVleet,0.529217247156323
BetMGM,0.0108,0.5236,Under,NBA,11.5,Rebounds + Assists,1.91,Fred VanVleet,0.529217247156323
DraftKings,0.0108,0.5236,Over,NBA,25.5,Points + Rebounds,1.91,Dejounte Murray,0.529217247156323
BetMGM,0.0106,0.6061,Under,NBA,5.5,Rebounds,1.65,Jalen Green,0.6125057076599426
ESPNBet,0.0101,0.5747,Under,NBA,5.5,Rebounds,1.74,Austin Reaves,0.5804983298614722
Pinnacle,0.0097,0.565,Over,NHL,1.5,Total Shots on Goal,1.77,Mason McTavish,0.5704545721155062
BetRivers,0.0095,0.5263,Under,NBA,1.5,3-Pointers,1.9,Scottie Barnes,0.5313322627585991
SugarHouse,0.0095,0.5263,Under,NBA,1.5,3-Pointers,1.9,Scottie Barnes,0.5313322627585991
DraftKings,0.0095,0.4464,Under,NBA,4.5,Assists,2.24,Jayson Tatum,0.4506806840081313
Unibet,0.0095,0.5263,Under,NBA,1.5,3-Pointers,1.9,Scottie Barnes,0.5313322627585991
DraftKings,0.0095,0.4082,Over,NBA,2.5,Rebounds,2.45,Kentavious Caldwell-Pope,0.41202691538697855
STNSports,0.0092,0.5348,Under,NFL,26.5,Total Pass Completions,1.87,Joe Burrow,0.5396750868626162
PointsBet,0.0085,0.4082,Over,NFL,2.5,Total Passing Touchdowns,2.45,Joe Burrow,0.4116273786071057
STNSports,0.0085,0.4082,Over,NFL,2.5,Total Passing Touchdowns,2.45,Joe Burrow,0.4116273786071057
