bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
ESPNBet,-0.0611,0.5128205128205129,Over,NBA,54.5,Points + Rebounds + Assists,1.95,Nikola Jokic,0.4814814814814815
Bovada,-0.0611,0.5128205128205129,Over,NBA,54.5,Points + Rebounds + Assists,1.95,Nikola Jokic,0.4814814814814815
ESPNBet,-0.0611,0.5128205128205129,Over,NBA,54.5,Points + Rebounds + Assists,1.95,Nikola Jokic,0.4814814814814815
Bovada,-0.0611,0.5128205128205129,Over,NBA,54.5,Points + Rebounds + Assists,1.95,Nikola Jokic,0.4814814814814815
DraftKings,-0.0611,0.5128205128205129,Over,NBA,54.5,Points + Rebounds + Assists,1.95,Nikola Jokic,0.4814814814814815
DraftKings,-0.0611,0.5128205128205129,Over,NBA,54.5,Points + Rebounds + Assists,1.95,Nikola Jokic,0.4814814814814815
BetRivers,-0.0634,0.5494505494505494,Over,NBA,53.5,Points + Rebounds + Assists,1.82,Nikola Jokic,0.5145888594164455
Unibet,-0.0634,0.5494505494505494,Over,NBA,53.5,Points + Rebounds + Assists,1.82,Nikola Jokic,0.5145888594164455
BetRivers,-0.0634,0.5494505494505494,Over,NBA,53.5,Points + Rebounds + Assists,1.82,Nikola Jokic,0.5145888594164455
SugarHouse,-0.0634,0.5494505494505494,Over,NBA,53.5,Points + Rebounds + Assists,1.82,Nikola Jokic,0.5145888594164455
SugarHouse,-0.0634,0.5494505494505494,Over,NBA,53.5,Points + Rebounds + Assists,1.82,Nikola Jokic,0.5145888594164455
Unibet,-0.0634,0.5494505494505494,Over,NBA,53.5,Points + Rebounds + Assists,1.82,Nikola Jokic,0.5145888594164455
Fanatics,-0.0643,0.4081632653061224,Over,NHL,2.5,Total Shots on Goal,2.45,Mikael Granlund,0.38190954773869346
HardRock,-0.0643,0.4081632653061224,Over,NHL,2.5,Total Shots on Goal,2.45,Mikael Granlund,0.38190954773869346
DraftKings,-0.0643,0.4081632653061224,Over,NHL,2.5,Total Shots on Goal,2.45,Mikael Granlund,0.38190954773869346
HardRock,-0.0643,0.4081632653061224,Over,NHL,2.5,Total Shots on Goal,2.45,Mikael Granlund,0.38190954773869346
DraftKings,-0.0643,0.4081632653061224,Over,NHL,2.5,Total Shots on Goal,2.45,Mikael Granlund,0.38190954773869346
Fanatics,-0.0643,0.4081632653061224,Over,NHL,2.5,Total Shots on Goal,2.45,Mikael Granlund,0.38190954773869346
HardRock,-0.0667,0.6622516556291391,Under,NHL,2.5,Total Shots on Goal,1.51,Mikael Granlund,0.6180904522613065
DraftKings,-0.0667,0.5555555555555556,Under,NBA,54.5,Points + Rebounds + Assists,1.8,Nikola Jokic,0.5185185185185185
Bovada,-0.0667,0.5555555555555556,Under,NBA,54.5,Points + Rebounds + Assists,1.8,Nikola Jokic,0.5185185185185185
HardRock,-0.0667,0.6622516556291391,Under,NHL,2.5,Total Shots on Goal,1.51,Mikael Granlund,0.6180904522613065
Bovada,-0.0667,0.5555555555555556,Under,NBA,54.5,Points + Rebounds + Assists,1.8,Nikola Jokic,0.5185185185185185
DraftKings,-0.0667,0.5555555555555556,Under,NBA,54.5,Points + Rebounds + Assists,1.8,Nikola Jokic,0.5185185185185185
PrizePicks,-0.0676,0.5405405405405405,Over,NBA,38.5,Points + Rebounds + Assists,1.85,Cade Cunningham,0.5039787798408488
PrizePicks,-0.0676,0.5405405405405405,Over,NBA,38.5,Points + Rebounds + Assists,1.85,Cade Cunningham,0.5039787798408488
SugarHouse,-0.068,0.5208333333333334,Under,NBA,53.5,Points + Rebounds + Assists,1.92,Nikola Jokic,0.4854111405835544
BetRivers,-0.068,0.5208333333333334,Under,NBA,53.5,Points + Rebounds + Assists,1.92,Nikola Jokic,0.4854111405835544
BetRivers,-0.068,0.5208333333333334,Under,NBA,53.5,Points + Rebounds + Assists,1.92,Nikola Jokic,0.4854111405835544
Unibet,-0.068,0.5208333333333334,Under,NBA,53.5,Points + Rebounds + Assists,1.92,Nikola Jokic,0.4854111405835544
SugarHouse,-0.068,0.5208333333333334,Under,NBA,53.5,Points + Rebounds + Assists,1.92,Nikola Jokic,0.4854111405835544
Unibet,-0.068,0.5208333333333334,Under,NBA,53.5,Points + Rebounds + Assists,1.92,Nikola Jokic,0.4854111405835544
ESPNBet,-0.0708,0.48780487804878053,Over,NBA,9.5,Assists,2.05,Nikola Jokic,0.45324760092768757
BetMGM,-0.0708,0.48780487804878053,Over,NBA,9.5,Assists,2.05,Nikola Jokic,0.45324760092768757
Bovada,-0.0708,0.48780487804878053,Over,NBA,9.5,Assists,2.05,Nikola Jokic,0.45324760092768757
Bovada,-0.0708,0.48780487804878053,Over,NBA,9.5,Assists,2.05,Nikola Jokic,0.45324760092768757
